bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip,year,month,Actual_Price,Predicted_Price
4.0,3.0,3100,15480,2.0,0,0,3,2400,700,1996,0,Kenmore,WA 98028,2014,5,563000.0,656337.1124138001
2.0,1.75,2080,4800,1.0,0,0,5,1080,1000,1923,0,Seattle,WA 98117,2014,5,740000.0,544140.33888889
4.0,1.5,1800,3245,1.5,0,0,4,1800,0,1929,0,Seattle,WA 98103,2014,6,875000.0,607635.58
2.0,1.0,710,1173,2.0,0,0,4,710,0,1943,0,Seattle,WA 98102,2014,5,402000.0,387178.4
3.0,1.75,1540,10800,1.0,0,0,5,770,770,1947,0,Mercer Island,WA 98040,2014,6,500000.0,654619.5
3.0,1.75,1390,10905,1.0,0,0,3,860,530,1957,2000,Seattle,WA 98106,2014,5,270000.0,295371.9275
5.0,1.75,1650,3000,1.5,0,0,3,1650,0,1902,0,Seattle,WA 98144,2014,7,443000.0,536526.1
4.0,2.0,1350,942,3.0,0,0,3,1350,0,2008,0,Issaquah,WA 98029,2014,6,288790.0,357345.23
3.0,2.25,1450,19206,2.0,0,0,3,1450,0,1989,0,Sammamish,WA 98074,2014,7,410000.0,454747.7
3.0,2.25,2130,8721,1.0,0,0,3,1570,560,1987,2000,Kent,WA 98031,2014,6,316000.0,286900.96589285
3.0,2.5,2090,7640,1.0,0,0,3,1360,730,1962,2014,Shoreline,WA 98133,2014,5,543000.0,407044.2
4.0,2.0,2520,6000,1.0,0,0,3,1400,1120,1921,2007,Seattle,WA 98103,2014,5,875000.0,682135.46285713
2.0,1.0,800,6500,1.0,0,0,4,800,0,1953,1983,Shoreline,WA 98133,2014,7,295000.0,268992.9
3.0,1.75,1660,6250,1.0,0,0,3,830,830,1980,0,Seattle,WA 98116,2014,7,410000.0,428171.76000000996
3.0,2.5,2600,5540,2.0,0,0,3,2600,0,2004,2003,Maple Valley,WA 98038,2014,6,355500.0,417155.99
4.0,1.75,1440,13296,1.0,0,0,4,1440,0,1967,0,Bellevue,WA 98004,2014,7,1038000.0,828704.63333333
3.0,1.0,1430,19901,1.5,0,0,4,1430,0,1927,0,Kenmore,WA 98028,2014,5,310000.0,283952.875
3.0,2.5,1450,5008,1.0,0,0,3,840,610,2007,0,Seattle,WA 98106,2014,5,330000.0,327378.11666667
